Complexity,Freq,Status
9.6308,1756.0,Rand
8.1491,20286.0,Rand
9.6308,54918.0,Rand
8.89,10324.0,Rand
8.1491,55572.0,Rand
8.1491,1233.0,Rand
7.4083,46815.0,Rand
8.89,7217.0,Rand
7.4083,3204.0,Rand
7.4083,10751.0,Rand
8.89,34973.0,Rand
8.1491,48925.0,Rand
9.6308,2741.0,Rand
6.6675,24989.0,Rand
7.4083,26897.0,Rand
8.89,61.0,Rand
8.1491,25833.0,Rand
8.1491,11735.0,Rand
8.1491,11510.0,Rand
7.4083,72109.0,Rand
9.6308,3244.0,Rand
8.89,25920.0,Rand
10.3716,1845.0,Rand
6.6675,9793.0,Rand
7.4083,11200.0,Rand
8.89,24266.0,Rand
9.6308,24673.0,Rand
5.9266,6905.0,Rand
8.89,19751.0,Rand
7.4083,100157.0,Rand
8.1491,54678.0,Rand
7.4083,7973.0,Rand
7.4083,10059.0,Rand
8.89,6475.0,Rand
8.1491,19932.0,Rand
7.4083,49939.0,Rand
7.4083,25340.0,Rand
8.1491,14890.0,Rand
6.6675,76657.0,Rand
7.4083,73070.0,Rand
8.89,14570.0,Rand
9.6308,2454.0,Rand
9.6308,11089.0,Rand
8.1491,640.0,Rand
6.6675,44367.0,Rand
8.89,15973.0,Rand
8.1491,23441.0,Rand
8.1491,42909.0,Rand
8.1491,19983.0,Rand
8.89,9539.0,Rand
7.4083,17663.0,Rand
8.89,677.0,Rand
7.4083,42733.0,Rand
8.1491,11511.0,Rand
7.4083,27842.0,Rand
7.4083,27833.0,Rand
4.445,1882.0,Rand
5.9266,5941.0,Rand
8.89,52112.0,Rand
8.89,2478.0,Rand
8.1491,13190.0,Rand
10.3716,5363.0,Rand
8.1491,4021.0,Rand
8.89,5716.0,Rand
9.6308,5016.0,Rand
6.6675,505.0,Rand
8.89,38035.0,Rand
8.1491,17428.0,Rand
8.89,10994.0,Rand
8.89,3593.0,Rand
7.4083,4876.0,Rand
8.1491,55874.0,Rand
8.1491,4809.0,Rand
7.4083,8697.0,Rand
7.4083,6442.0,Rand
8.1491,3516.0,Rand
8.89,1252.0,Rand
8.89,39411.0,Rand
8.89,1364.0,Rand
8.89,50462.0,Rand
8.1491,1640.0,Rand
8.1491,57578.0,Rand
7.4083,43521.0,Rand
7.4083,58138.0,Rand
8.89,14027.0,Rand
7.4083,34212.0,Rand
8.1491,4050.0,Rand
10.3716,4892.0,Rand
9.6308,3266.0,Rand
7.4083,5985.0,Rand
8.1491,26908.0,Rand
8.1491,43330.0,Rand
8.89,4237.0,Rand
8.89,14796.0,Rand
8.1491,7051.0,Rand
8.1491,38649.0,Rand
8.1491,17963.0,Rand
7.4083,26518.0,Rand
7.4083,14870.0,Rand
9.6308,1868.0,Rand
6.6675,46359.0,Rand
8.89,8191.0,Rand
8.89,5814.0,Rand
8.1491,12571.0,Rand
8.1491,6583.0,Rand
7.4083,18262.0,Rand
7.4083,21971.0,Rand
8.1491,45854.0,Rand
6.6675,10427.0,Rand
7.4083,23534.0,Rand
8.89,4436.0,Rand
5.9266,7732.0,Rand
8.1491,18986.0,Rand
8.89,4551.0,Rand
8.1491,25716.0,Rand
8.89,1949.0,Rand
8.1491,2370.0,Rand
8.1491,11954.0,Rand
8.1491,1291.0,Rand
8.1491,41391.0,Rand
8.1491,4695.0,Rand
6.6675,8520.0,Rand
7.4083,4111.0,Rand
7.4083,11204.0,Rand
8.1491,797.0,Rand
8.1491,53700.0,Rand
9.6308,9668.0,Rand
8.89,25969.0,Rand
6.6675,20915.0,Rand
9.6308,1455.0,Rand
8.89,30692.0,Rand
7.4083,5923.0,Rand
8.1491,2011.0,Rand
7.4083,8106.0,Rand
8.89,45996.0,Rand
8.89,1195.0,Rand
6.6675,27117.0,Rand
8.89,3404.0,Rand
8.1491,12457.0,Rand
7.4083,6938.0,Rand
9.6308,24975.0,Rand
8.89,113.0,Rand
8.89,39689.0,Rand
7.4083,8828.0,Rand
8.1491,2571.0,Rand
8.89,30127.0,Rand
